KIC,numax,Dnu,Teff,[M/H]2,kic_kepmag,Bmag,Vmag,B-V,V-I,Imag,Pdet1,Pdet2,Pdet3
10587122.0,37.36,4.30056458816,4610.0,0.17,12.0600629153,10.62,9.5,1.12,1.0864325509,8.4135674491,1.0,1.0,1.0
10587122.0,37.36,4.30056458816,4610.0,0.17,12.5883512236,10.62,9.5,1.12,1.0864325509,8.4135674491,1.0,1.0,1.0
7014894.0,73.9,6.48565302389,4971.0,0.15,12.4899805888,10.5,9.44,1.06,1.03688560322,8.40311439678,0.0,1.0,0.0
7014894.0,73.9,6.48565302389,4971.0,0.15,14.5584801917,10.5,9.44,1.06,1.03688560322,8.40311439678,0.0,0.0,0.0
11665692.0,67.79,5.90278243737,4891.0,0.43,15.5294387253,10.59,9.45,1.14,1.10401970585,8.34598029415,0.0,0.0,0.0
11665692.0,67.79,5.90278243737,4891.0,0.43,16.8629801739,10.59,9.45,1.14,1.10401970585,8.34598029415,0.0,0.0,0.0
10522084.0,45.76,4.76305862063,4787.0,-0.01,13.6043701531,10.54,9.55,0.99,0.983761279802,8.5662387202,0.0,1.0,1.0
10522084.0,45.76,4.76305862063,4787.0,-0.01,12.383199391,10.54,9.55,0.99,0.983761279802,8.5662387202,1.0,1.0,1.0
9517698.0,42.22,4.54015127552,4855.0,0.06,11.1790808486,10.55,9.45,1.1,1.06941272047,8.38058727953,0.0,1.0,1.0
9517698.0,42.22,4.54015127552,4855.0,0.06,13.388835977,10.55,9.45,1.1,1.06941272047,8.38058727953,0.0,1.0,1.0
11496569.0,66.35,6.10419310706,4849.0,0.04,11.3287539514,10.79,9.72,1.07,1.04484362146,8.67515637854,1.0,1.0,1.0
11496569.0,66.35,6.10419310706,4849.0,0.04,15.6920771663,10.79,9.72,1.07,1.04484362146,8.67515637854,0.0,0.0,0.0
11969378.0,38.1,4.34065875257,4849.0,0.06,13.1992812915,10.82,9.74,1.08,1.05291332497,8.68708667503,1.0,1.0,0.0
11969378.0,38.1,4.34065875257,4849.0,0.06,16.6961287755,10.82,9.74,1.08,1.05291332497,8.68708667503,0.0,0.0,0.0
11234897.0,61.32,5.1270290049,4972.0,0.15,12.8101445384,10.41,9.51,0.9,0.91933393294,8.59066606706,0.0,0.0,0.0
11234897.0,61.32,5.1270290049,4972.0,0.15,11.098878452,10.41,9.51,0.9,0.91933393294,8.59066606706,0.0,0.0,0.0
9634962.0,34.65,3.97812532861,4704.0,0.29,13.6350398266,10.96,9.76,1.2,1.16062376182,8.59937623818,1.0,1.0,1.0
9634962.0,34.65,3.97812532861,4704.0,0.29,16.4288549944,10.96,9.76,1.2,1.16062376182,8.59937623818,0.0,1.0,0.0
11819363.0,49.97,5.33924449337,4915.0,-0.54,14.3610587358,10.74,9.79,0.95,0.954841289507,8.83515871049,1.0,1.0,1.0
11819363.0,49.97,5.33924449337,4915.0,-0.54,12.4717609455,10.74,9.79,0.95,0.954841289507,8.83515871049,1.0,1.0,1.0
10359999.0,45.27,4.69837526567,4886.0,0.04,12.1174405565,9.23,8.9,0.33,0.382538041073,8.51746195893,1.0,0.0,1.0
10359999.0,45.27,4.69837526567,4886.0,0.04,15.4703259051,9.23,8.9,0.33,0.382538041073,8.51746195893,0.0,0.0,0.0
11615617.0,103.54,8.0656936686,5065.0,0.26,11.5544691955,10.34,9.32,1.02,1.00604177552,8.31395822448,0.0,1.0,0.0
11615617.0,103.54,8.0656936686,5065.0,0.26,15.9806252605,10.34,9.32,1.02,1.00604177552,8.31395822448,0.0,0.0,0.0
